=== readerc(1).zar ===
dlgNetBanned.rdr: lists=73 depth=7 bad_strings=0
dlgNetConnect.rdr: lists=790 depth=10 bad_strings=0
dlgNetError.rdr: lists=116 depth=10 bad_strings=0
dlgNetLogin.rdr: lists=1238 depth=11 bad_strings=0
dlgNetPlayerName.rdr: lists=720 depth=11 bad_strings=0
dlgnewgame_cinematic.rdr: lists=20 depth=6 bad_strings=0
dlgOnlineFilters.rdr: lists=1221 depth=12 bad_strings=0
dlgOnlineOptions.rdr: lists=444 depth=9 bad_strings=0
dlgOptions_Audio.rdr: lists=814 depth=11 bad_strings=0
dlgOptions_Menu.rdr: lists=406 depth=8 bad_strings=0
dlgOptions_Video.rdr: lists=964 depth=11 bad_strings=0
dlgPlayDocMovies.rdr: lists=65 depth=8 bad_strings=0
dlgPlayTutMovies.rdr: lists=142 depth=8 bad_strings=0
dlgReplayCinematic.rdr: lists=153 depth=8 bad_strings=0
dlgRespondToInvites.rdr: lists=681 depth=10 bad_strings=0
dlgReturnFromNTGUI2.rdr: lists=31 depth=7 bad_strings=0
dlgSecondCinematic.rdr: lists=67 depth=6 bad_strings=0
fonts.rdr: lists=2221 depth=6 bad_strings=0
validated 92 RDR leaves; bad string cells=0

=== readerm(1).zar ===
actions.rdr: lists=17 depth=4 bad_strings=0
aimaps.rdr: lists=9 depth=4 bad_strings=0
chartype.rdr: lists=29 depth=4 bad_strings=0
clutter.rdr: lists=133 depth=4 bad_strings=0
dyntex.rdr: lists=3 depth=2 bad_strings=0
layers.rdr: lists=8 depth=4 bad_strings=0
map.rdr: lists=6 depth=2 bad_strings=0
mission.rdr: lists=142 depth=4 bad_strings=0
mp12.rdr: lists=384 depth=5 bad_strings=0
mp12old.rdr: lists=299 depth=5 bad_strings=0
valves.rdr: lists=13 depth=4 bad_strings=0
mp12_lib.rdr: lists=345 depth=5 bad_strings=0
net_000.rdr: lists=16 depth=4 bad_strings=0
net_global.rdr: lists=12 depth=4 bad_strings=0
